קלט,פלט
כל מלל,"רבנות אגף המודיעין - בשבילך תמיד!
ברוכים הבאים לצ""ט בוט רבנות אמ""ן

באפשרותך להקליד מילות חיפוש בכל עת. 

בנוסף, באפשרותך להגיע למידע על פי עולמות התוכן:
*1-* עולם תפילות: נהלים
*2-* עולם כשרות: נהלים ובירורים
*3-* עולם הרוח: שיעורים, הרצאות, גיור, סרטונים ומערכי שיעור
*4-* עולם החומר: הנפקת ציוד ופטורים
*5-* במעגל השנה: שבת וחג
*6-* חיים יחד – שירות משותף
*7-* עולם הביגוד והנראות
*8-* עולם המשפחה - לנשואים
*9-* עולם הרבנות הצבאית
*10-* בני מיעוטים
*11-* ליחידה שלי
ליצירת קשר עם רבנות היחידה ניתן להגיע למשרד הנמצא בין תחנת השאטל לאפסנאות
או להתקשר לרב היחידה, סרן הרב בניה שושן-

ליצירת קשר עם רב אמ""ן, רס""ן הרב איתיאל אריאל-

ליצירת קשר עם קצינת החיילת הדתיה ברבנות, רס""ן עינת כהן-


"
1,"*עולם התפילות*
בעולם זה ניתן להתעדכן אודות:
לינק לקבוצת בית הכנסת
זמני תפילה בבסיס
נהלי תפילות ביום חול
אבלות
נהלי תפילות בשבתות, חגים וצומות
הנחיות כלליות אודות התפילה

**לינק לקבוצת בית הכנסת**


**זמני תפילה בבית הכנסת**


**נהלי תפילות ביום חול**
_שחרית-_
ימים א,ג,ד,ו - 40 דקות
ימים ב,ה וצומות- 50 דקות
ראש חודש - 60 דקות

_מנחה-_
יום חול וחול המועד - 15 דקות
בצומות - 30 דקות

_ערבית-_ - 15 דקות

**אבלות**
בשנת אבל ובימי זיכרון ינתן לחייל/ת במניין ולומר קדיש, אף אם הדבר מחייב תפלה במנין אזרחי

**נהלי תפילות בשבתות, חגים וצומות**
_שבתות-_
ערבית - 30 דקות
שחרית - שעתיים
מנחה - 30 דקות

_צומות_
צום גדליה, י' בטבת, תענית אסתר וי""ז בתמוז
ערבית - 15 דקות
שחרית - 50 דקות
מנחה - 30 דקות

_סליחות_ - 30 דקות

_ראש השנה-_
ערבית - שעה ו15 דקות
שחרית - 4 שעות
מנחה - 30 דקות

_יום כיפור_
ערבית- שעתיים
שחרית - 4 שעות
מנחה ונעילה- שעתיים

_חנוכה_
ערבית - 15 דקות
שחרית - שעה
מנחה - 15 דקות

_פורים_
ערבית - שעה
שחרית -שעה וחצי
מנחה - 15 דקות

_שלושה רגלים_
ערבית (כולל חול המועד) - 30 דקות
שחרית (כולל חול המועד) - שעתיים
מנחה (לבד מחול המועד) - 30 דקות

_יום העצמאות ויום ירושלים_
ערבית - 30 דקות
שחרית - שעה וחצי
מנחה - 15 דקות

_ט' באב_
ערבית - 45 דקות
שחרית - שעתיים
מנחה - 30 דקות

**הנחיות כלליות אודות התפילה:**
א. זמני התפילות הם ברוטו ואינם כוללים זמני הגעה לבית הכנסת.
ב. בבסיסים בהם מתקיים מנין קבוע יש לאפשר לחיילים להתפלל במניין - בהינתן מניין, תפילה שלא בזמן המניין יאושר על ידי הרב
ג. תפילת שחרית תתקים מהזריחה ועד השעה 9:00, לפני פעילות שאינה מבצעית.
ד. תפילת מנחה תתקיים מהשעה 12:30 בשעון חורף/13:30 בשעון קיץ ועד לשעת השקיעה
ה. תפילת ערבית תתקיים מחצי שעה לאחר השקיעה ועד לשעה 23:30
ו. זמן ברכת המזון - 5 דקות
ז. תפילות לא יבואו על חשבון שינה, אוכל או הפסקה
"
2,"*עולם הכשרות*
מערך הכשרות בצה""ל אחראי על כשרות המזון בחדרי האוכל, בחלביות ובמטבחונים.

לקבלת עדכוני כשרות בבסיס-


*שימו לב - ניתן לבקשה מנה בכשרות מהודרת מראש דרך נציגי הרבנות ביחידה*

בעולם זה ניתן להתעדכן אודות:
פקודת הכשרות
דגשי כשרות הרבנות הצבאית
סימון כלים
כשרות המוצרים
המטבח בשנת השמיטה

_פקודת הכשרות-_
האחראי על הכשרות ביחידות הם רבני היחידות.
תחת הרב או תחת נגד הכשרות פועלים משגיחי הכשרות, הצבאיים ו/או האזרחיים.

_דגשי כשרות הרבנות הצבאית_
ככלל, מטבחוני צה""ל הינם חלביים בלבד!
אין להשתמש בכלים שאינם מאופיינים ומסומנים.
אין בישולי חלב, לבד מחריגות המאושרות על ידי רע""ן כשרות
אוכל הנמכר בחלביות, בשריות ובחנויות הכוורת עונים על הנחיות הכשרות של הרבנות הצבאית.
יחד עם זאת, יש לוודא כי קיימת תעודת כשרות בתוקף.
אין להכניס אוכל ביתי לתוך המטבחים, חדרי האוכל ובמטבחונים אין להשתמש בכלים הצבאיים לאוכל ביתי

_סימון כלים-_
חלבי - מסומן בחור בסכו""ם ו/או כיתוב כחול 'חלבי'
בשרי - מסומן בכיתוב אדום 'בשרי'
כלים פרווה - מסומנים בכיתוב צהוב 'פרווה'
אם הכלי לא מסומן אין להשתמש - יש להעביר את הכלי לנציג הרבנות.
מקירוגלים – יש להשתמש רק עם כלים ואין להניח את האוכל ישירות על צלחת המקירוגל. כמו כן, יש לכסות הרמטית את האוכל ואת הכלים לפני החימום

_כשרות המוצרים-_
כל המוצרים המונפקים על ידי צה""ל הינם כשרים בהכשרים המאושרים על ידי הרבנות הראשית לישראל.
ירקות עלים הינם מגידול ללא חרקים
פירות וירקות מאזור המרכז והדרום – רבנות קרית מלאכי והרב אפרתי
פירות וירקות מאזור הצפון- רבנות מזכרת בתיה והרב רובין
מוצרי חלק הינם כשרות מהדרין.
כשרות מוצרי בשר בקר ועוף הוא כדלהלן:
בשר מעובד (המבורגר, נקניקיות, קבב וכד') הינו כשר אך לא 'חלק'. 
ככלל, בשר שאינו מעובד, ובתוך כך בשר גולאש, הינו 'חלק'.
לעיתים, אף הבשר המעובד הוא 'חלק'.
עוף – כשרות מהדרין

_רכש חוץ_
לבירור אילו מוצרים ניתנים לרכישה במסגרת 'רכש חוץ' יש ללחוץ על הלינק ולהקליד את המוצר הרצוי לשם קבלת הנחיות

_אוכל ביתי_
ככלל, 

_המטבח בשנת השמיטה_
כלל, הפירות והירקות במטבחי צה""ל בשמיטה ה'תשפ""ב הינם קדושים בקדושת שביעית, ""אוצר בית דין"".
בהיער פירות וירקות הקדושים בקדושת שביעית__
"
3,"**עולם הרוח*
בעולם זה ניתן להתעדכן אודות:
שיעורים קבועים בבסיס
ימי ישיבה בבסיס ופקודת ימי ישיבה
גיור

_שיעורים קבועים בבסיס_
ביחידה מתקיימים שיעורים קבועים בזמנים הבאים:

_ימי ישיבה בבסיס ופקודת ימי ישיבה_
יום הישיבה הקרוב בבסיס יתקיים ב-
ככלל, חיילים וחיילות דתיים זכאים ליום ישיבה פעם בחודש, או שלושה בשלושה חודשים.
ימי ישיבה אינם מחייבים שחרור לישיבה, מכינה או למדרשה.
ההשתתפות בימים אלו הינם על מדים מלאים, גם כאשר מתקיימים מחוץ ליחידה.

_גיור_
הגיור בצה""ל נעשה בהתאם לכללי הרבנות הראשית לישראל.
חיילים סדירים המעוניינים להתגייר רשאים לעשות זאת ועל מפקדיהם לאפשר זאת., כולל כל שלבי הגיור
ניתן להתגייר במסגרות הבאות:
א. לימוד של החייל עם רב היחידה או מורה אזרחית לחיילת
ב. מכון ללימודי יהדות
חיילים שאינם במסלול 'נתיב' יקבלו מרב היחידה סידור ותפילין.
לאחר הגיור, ניתן לבקש מנציגי הרבנות ביחידה להכשיר את המטבח הביתי
"
4,"*עולם החומר: הנפקת ציוד ופטורים*
בעולם זה ניתן להתעדכן אודות:
מזוזות
נטלות
חצאיות לחיילת הדתייה
פטור זקן

_מזוזות_
יש לפנות לנציגי הרבנות ביחידה באם חסרים מזוזות בפתחי המגורים או המשרדים

_נטלות_
באם אין נטלה לנטילת ידיים בעמדות ליד חדר האוכל או שחסררה נטלה בשירותי המגורים יש לפנות לנציגי הרבנות ביחידה

_חצאית לחיילת הדתיה_
כל חיילת דתיה זכאית לשלוש זוגות מדי א' לבחירתה (מכנס ו/או חצאית)
על החצאית להיות 3 ס""מ מתחת לברך
ניתן להגיש בקשה דרך רב היחידה לחצאית נוספת
חצאית ב' תונפק בבסיס ההכשרה ותלווה אותך לאורך השירות
באם אינך מופיע כחיילת דתיה במערכת הצה""לית יש לפנות לרב היחידה

_פטור זקן_
בקשה לפטור זקן קבוע *מטעמי דת* תועבר דרך נגד המשמעת של היחידה ותועבר גם לרב היחידה. עד אז, בהיעדר אישור זמני, על החייל להמשיך להתגלח.
חייל הנמצא *באבלות* לא יחוייב בגילוח במהלך שלושים ימי האבלות לאחר הקבורה. במקרה של פטירת אחד ההורים תקנה זו תוארך לתשעים ימים.
במהלך שלושת השבועות (י""ז בתמוז- ט' באב) וכן במהלך כל ימי ספירת העומר (תחילת פסח עד גמר חג השבועות) חייל המקיים אורח חיים דתי יוכל לבקש פטור מרב היחידה ולהסתפר ולהתגלח כמנהג אבותיו.
דברים אלו נכונים גם לגבי חול המועד סוכות וחול המועד פסח.
"
5,"*במעגל השנה: שבת וחג*
בעולם זה ניתן להתעדכן אודות:
נהלי פעילות
הדלקת נרות
טכנולוגיה בשבת וחג
זמני תפילות
דגשים נקודתיים

_נהלי פעילות_
שבתות, חגים ומועדים רשמיים של המדינה הינם ימי מנוחה בצה""ל ואין לקיים בהם פעילות כי אם זו החיונית מבחינה ביטחונית.
ימים אלו יחולו משקיעת החמה ביום לפני ועד צאת הכוכבים בתאריך החג.

על המפקדים לשחרר את החיילים לפני שבת, חג ומועדי ישראל כך שיגיעו לביתם עד שעתיים לפני השקיעה.
החזרה תהיה באופן שמאפשר שעת התארגנות לאחר צאת השבת/חג/מועדי ישראל
חיילים שסוגרים בבסיס ישוחררו מפעילות שאינה חיונית שעה לפני שבת או חג

ארוחת הערב בערב שבת/חג/מועדי ישראל תהיה חגיגית ובימים בהם נעשה קידוש יסופקו לחיילים מיץ ענבים לשם הקידוש כמו גם הבדלה עם צאת היום.
כמו כן, יסופק 'לחם משנה' בשבתות וחגים.
בבתי הכנסת ניתן למצוא את ערכות ההבדלה.

במהלך השבת, יש לשמור על אווירת השבת במרחב הציבורי, בתוך כך גם בחדר האוכל.
יש להתחשב, ואף לדרוש שיתחשבו בחיילים הדתיים. בתוך כך:

_הדלקת נרות_
באחריות קצין הלוגיסטיקה של היחידה להנפיק נרות שבת ולייחד לשם כך מקום (על פי רוב בחדר האוכל).
כל חייל/ת המעוניינים בהדלקת נרות יוכלו לעשות זאת.
כאשר הפקודות לא מאפשרות הדלקת נרות באש ממשית – יש לבקש מנציגי הרבנות ביחידה נרות ייעודיים להדלקת נרות כהלכה שאינם מאש.

_טכנולוגיה בשבת וחג_
ניתן להשיג מנציגי הרבנות ביחידה טלפון שבת, מקלדת שבת, עכבר שבת וכן עט שבת לפי צרכי המשימה השונים.
יש לשים לב כי הרבנות הצבאית הנפיקה פתרונות קבועים לחייל הדתי בשבת וחג כגון קודן, לחצן, מפסק שער ועוד.
טרם יום חמישי יש להסתכל במרחב לבדוק אלו מנגנונים קיימים אשר דורשים התאמה להלכות שבת וחג ובאם יש פער יש לפנות לנציגי הרבנות ביחידה בהקדם לשם השלמת הפער

_זמני תפילות_
_שבתות-_
ערבית - 30 דקות
שחרית - שעתיים
מנחה - 30 דקות

_צומות_
צום גדליה, י' בטבת, תענית אסתר וי""ז בתמוז
ערבית - 15 דקות
שחרית - 50 דקות
מנחה - 30 דקות

_סליחות_ - 30 דקות

_ראש השנה-_
ערבית - שעה ו15 דקות
שחרית - 4 שעות
מנחה - 30 דקות

_יום כיפור_
ערבית- שעתיים
שחרית - 4 שעות
מנחה ונעילה- שעתיים

_חנוכה_
ערבית - 15 דקות
שחרית - שעה
מנחה - 15 דקות

_פורים_
ערבית - שעה
שחרית -שעה וחצי
מנחה - 15 דקות

_שלושה רגלים_
ערבית (כולל חול המועד) - 30 דקות
שחרית (כולל חול המועד) - שעתיים
מנחה (לבד מחול המועד) - 30 דקות

_יום העצמאות ויום ירושלים_
ערבית - 30 דקות
שחרית - שעה וחצי
מנחה - 15 דקות

_ט' באב_
ערבית - 45 דקות
שחרית - שעתיים
מנחה - 30 דקות

**דגשים נקודתיים**
**ראש השנה***
מטבחי צה""ל יספקו ערכות לעריכת סדר סימנים במהלך שני הערבים, כאשר בערב השני יסופק פרי חדש לברכת 'שהחיינו'.
כמו כן, הרבנות תספק שופרות לבתי הכנסת לשם תקיעות השופר.
המפקדים יאפשרו לחיילים המעוניינים לשמוע תקיעת שופר לעשות זאת.
הנחיות לתקיעת שופר ניתן למצוא בבית הכנסת על יד מקומו של השופר

**יום כיפור**
חיילים צמים ישוחררו מפעילות לאורך החג.
סעודה מפסקת בשרית וחמה תסופק לחיילים שעה לפני כניסת החג.
חיילים יורשו לנעול נעליים שאינם מעור, פרט למי שנמצא בפעילות מבצעית.
כלל חדרי האוכל יישארו סגורים ביום זה – אך תוסדר פינת פריסה
בחדר האוכל יוצב נר נשמה אותו יש להדליק לפני כניסת החג ואשר ישמש להבדלה במוצאי החג

**סוכות**
הצבא יספק ארבעת המינים ליחידות השונות, כמו גם ערכות 'השענות' להושענא רבה.
כמו כן, תועמד סוכה לשם אכילה כמו גם סוכה לשינה בהתאם לפקודת השירות המשותף

**חנוכה**
יש לאפשר לחיילים להשתתף בטקס הדלקת נרות ביחידה.
המעוניינים בערכת הדלקת נרות אישית יפנו לנציגי הרבנות ביחידה מבעוד מועד

**פורים**
יש לאפשר לחיילים להשתתף בקריאת מגילה (זמני התפילה כוללים את זמן קריאת המגילה הן בערב והן בבוקר).
מלבד קריאת המגילה בערב, במהלך היום יש לשמוע קריאת מגילה בשנית.
כמו כן, לשלוח מנות איש לרעהו – ניתן לתת לאחד מחבריכם לקורס שני מאכלים שונים (שתי ברכות שונות).
בנוגע למתנות לאביונים – ניתן למנות מראש שליח/ה לדבר המצווה שיתנו את המתנות לשני אביונים במהלך הפורים. כמו כן, ניתן להתעדכן אצל נציגי הרבנות ביחידה באשר להתארגנות קבוצתית.
כמו כן, יש לערוך 'משתה' ביום זה, קרי סעודה חגיגית (ללא אלכוהול).

**פסח**
חל איסור להכניס חמץ לבסיס מיום הכשרת הבסיס ועד לאחר גמר החג.
ניתן למכור חמץ דרך רב היחידה
כלל חדרי האוכל, המטבחונים, מכונות וחנויות לממכר מזון בצה""ל יוכשרו במהלך ימי ההכשרה לפסח על ידי סגל הרבנות של היחידה.
סדר פסח ייערך בחדר אוכל בנוסח אחיד.
באם הינך נמצא בפעילות ניתן לבקש מנציגי הרבנות ביחידה ערכת 'ליל הסדר' אישי.
כמו כן, בליל הסדר יחולקו מצות שמורות עבודת יד

שימו לב!
מרבית האוכל בצה""ל הינו ללא קטניות, אם כי לא כולו.
כמו כן, כאשר יוצע לחיילים אוכל עם מצה שרויה, תוצע גם חלופה לחיילים שאינם אוכלים מצה שרויה.

**צומות**
.חיילים ישוחררו מפעילות לאורך הצום.
לחיילים הצמים תוגש ארוחה חמה לפני תחילת הצום ולאחר הצום.

במהלך צום ט' באב חיילים יורשו לנעול נעליים שאינם מעור, פרט למי שנמצא בפעילות מבצעית

**יום טוב שני של גלויות**
חיילים הרשומים כבני חו""ל יוכלו לחגוג את ''יום טוב שני גלויות' וישוחררו מכל פעילות עד למוצאי החג

**שמיטה**
ענייני השמיטה מתחלקים לשלושה נושאים:
עבודות הקרקע, המטבח וכן שמיטת כספים.
על שטר הפרוזבול המאפשר גביית חוב כלפיכם כנציגי בית דין לאחר סוף שנת השמיטה יש לחתם לפני סוף שנת השמיטה.
ניתן להשיג עותק של שטר זה דרך הרבנות הצבאית.

• **עבודות קרקע**
יש לסייד גזעים ולהלבינם לפי הצורך עד לראש השנה של שנת שמיטה
אין לעדור בגינות במהלך שנת השמיטה
ניתן לנכש עשבייה רק לצורך בטיחותי, ובלבד שאין דרך אחרת לטפל בעשבייה
השקייה תותר על פי צורך בלבד
קיצוץ ענפים לשם סכך או מאחר והם מפריעים מותר, ובלבד שאין עלים פירות בתחילת גידולם (חנטים)

**המטבח בשנת השמיטה**
כלל, הפירות והירקות במטבחי צה""ל בשמיטה ה'תשפ""ב הינם קדושים בקדושת שביעית, ""אוצר בית דין"".
בהיעדר פירות וירקות הקדושים בקדושת שביעית__

"
6,"*חיים יחד – שירות משותף*
א. יש לך את הזכות לבקש שלא לבצע פעילות משותפת עם בני המין השני המביאים למצב של 'ייחוד', בתוך כך, תורנויות, שמירה, ניווט ונסיעה ברכב.
ב. כמו כן, באפשרותך לבקש הדרכה מצוות הדרכה מאותו מגדר כמוך אם יש חשש למגע פיזי, ייחוד או פעילות בלבוש חושפני
ג. באם מתקיימת פעילות נופש או תרבות שבעינייך יפגעו באמונתך, ערכיך או אורח חייך – תוצע פעילות חלופית (למעט שמירה או תורנות אחרת)
ד. חדרי כושר ובריכה – בבסיסים פתוחים ייחדו לפחות שעתיים שבועיות לכל מגדר ובבסיסים סגורים ייחדו לפחות ארבע שעות שבועיות לכל מגדר
ה. באירועים הממלכתיים הרשמיים ישתתפו כלל החיילים ובהם:
טקס יום הזיכרון ליצחק רבין ז""ל
טקס יום הזיכרון לשואה ולגבורה 
טקס יום הזיכרון לחללי מערכות ישראל ונפגעי פעולות האיבה
טקסי התייחדות חיילים או חטיבתיים
אירועים במעמד אישיות ממלכתי, לרבות הרמטכ""ל
אירועים אחרים שיקבעו על ידי ראש אכ""א ובאישור הרמטכ""ל
"
7,"*עולם הביגוד והנראות*
בעולם זה ניתן להתעדכן אודות ההנחיות הנוגעות ללבוש של החייל/ת הדתי/ה והינם המשך לפקודות הלבוש התקני בצה""ל
_החייל הדתי_
כיפה - הכיפה יכולה להיות בכל צבא ובכל גודל ובלבד שלא יהיה עליה כיתוב
ציצית - חייל יוכל להוציא את הציציות ולהציגם מעל מדיו, אם אין מניעה מבצעית. ניתן לפנות לרבנות היחידה להנפקת ציצית מותאמת לשירות
לבוש אזרחי - חולצה בעלת שרוול ארוך או קצר, מכנס מתחת לברך וכמו כן הלבוש לא יהיה חושפני או צמוד
פטור זקן - בקשה לפטור זקן קבוע *מטעמי דת* תועבר דרך נגד המשמעת של היחידה ותועבר גם לרב היחידה. עד אז, בהיעדר אישור זמני, על החייל להמשיך להתגלח.
חייל הנמצא *באבלות* לא יחוייב בגילוח במהלך שלושים ימי האבלות לאחר הקבורה. במקרה של פטירת אחד ההורים תקנה זו תוארך לתשעים ימים.
במהלך שלושת השבועות (י""ז בתמוז- ט' באב) וכן במהלך כל ימי ספירת העומר (תחילת פסח עד גמר חג השבועות) חייל המקיים אורח חיים דתי יוכל לבקש פטור מרב היחידה ולהסתפר ולהתגלח כמנהג אבותיו.
דברים אלו נכונים גם לגבי חול המועד סוכות וחול המועד פסח.

_החיילת הדתיה_
גרביונים - מותר לנוע בגרביונים בצבע גוף בלבד. ישנם זמנים בהם מותר יהיה לנוע בגרביוני חורף בצבעים כהים ויש להתעדכן על כך דרך המפקדים
כיסוי ראש - על כיסוי הראש להיות בצבע אחיד בצבעי: ירוק זית, שחור, אפור או כחול כהה
לבוש אזרחי - חולצה בעלת שרוול ארוך או קצר, מכנס מתחת לברך וכמו כן הלבוש לא יהיה חושפני או צמוד
חצאית - כל חיילת דתיה זכאית לשלוש זוגות מדי א' לבחירתה (מכנס ו/או חצאית). על החצאית להיות 3 ס""מ מתחת לברך. ניתן להגיש בקשה דרך רב היחידה לחצאית נוספת.
חצאית ב' תונפק בבסיס ההכשרה ותלווה אותך לאורך השירות.
באם אינך מופיע כחיילת דתיה במערכת הצה""לית יש לפנות לרב היחידה
"
"8, טבילה, מקווה","עולם המשפחה - לנשואים

הנחיות מערך ההדרכה למודיעין ולסייבר בענין ליל טבילה:
חיילים השומרים על דיני טהרת המשפחה ישוחררו לליל טבילת האשה באופן הבא:
חייל ישוחרר כך שיגיע לביתו עד 20 דקות לני השקיעה במקום מגורי
חיילת תשוחרר כך שתגיע לביתה עד 60 דקות לפני השקיעה כאשר המקווה הקרוב נמצא במרחב של עד 20 דקות נסיעה
על החייל/ת לשוב לבסיס בהתאם לחזרה אחרי 'אפטר' - יחד עם זאת, שחרור זה לא ייחשב כ'אפטר' אלא אם כן ה'אפטר' נקבע מראש ביום זה.

במקרים חריגים שחרור לליל הטבילה יידחה לצרכי הדרכה על ידי מפקד המערך לאחר הייעצות עם הרב החיילי."
"9, אפליקציית הרבנות","להכרות עם אפליקציית הרבנות
https://play.google.com/store/apps/details?id=com.acrapps.machanecha
"
"10, בני מיעוטים, דרוזי, צ'רקסי, מוסלמי, איסלאם, קוראן, נוצרי, ברית חדשה, ברית החדשה","*בני מיעוטים*
בעולם זה ניתן להתעדכן אודות:
גיור
צרכי דת של מי שאינו יהודי 

_גיור_
הגיור בצה""ל נעשה בהתאם לכללי הרבנות הראשית לישראל.
חיילים סדירים המעוניינים להתגייר רשאים לעשות זאת ועל מפקדיהם לאפשר זאת., כולל כל שלבי הגיור
ניתן להתגייר במסגרות הבאות:
א. לימוד של החייל עם רב היחידה או מורה אזרחית לחיילת
ב. מכון ללימודי יהדות
חיילים שאינם במסלול 'נתיב' יקבלו מרב היחידה סידור ותפילין.
לאחר הגיור, ניתן לבקש מנציגי הרבנות ביחידה להכשיר את המטבח הביתי


_צרכי דת של מי שאינו יהודי_
"
11,"רבנות אגף המודיעין - בשבילך תמיד! 
לאיזה בסיס אתם שייכים? 
*1-* אגד גלילות 
*2-* בה""ד 15 
*3-* יחידות 8200 
*4-* מפרשית 
*5-*בית פלדמן 
*6-* אשלים 
*7-* חבצלות 
*8-* מתקן אולגה 
*9-* יחידות המ""מ"
זמני תפילות,"נא לכתוב אלו זמני תפילות תרצו לדעת מהאפשרויות הבאות:
תפילות ימי חול
תפילות שבת
תפילות צומות
תפילות חגים
נהלי תפילות
זמני תפילה בבסיס
"
"תפילות ימי חול, שחרית, מנחה, ערבית","_שחרית-_
ימים א,ג,ד,ו - 40 דקות
ימים ב,ה וצומות- 50 דקות
ראש חודש - 60 דקות

_מנחה-_
יום חול וחול המועד - 15 דקות
בצומות - 30 דקות

_ערבית-_ - 15 דקות
"
תפילות שבת,"_שבתות-_
ערבית - 30 דקות
שחרית - שעתיים
מנחה - 30 דקות
"
תפילות צומות,"_צומות_
צום גדליה, י' בטבת, תענית אסתר וי""ז בתמוז
ערבית - 15 דקות
שחרית - 50 דקות
מנחה - 30 דקות

_ט' באב_
ערבית - 45 דקות
שחרית - שעתיים
מנחה - 30 דקות


"
תפילות חגים,"_סליחות_ - 30 דקות

_ראש השנה-_
ערבית - שעה ו15 דקות
שחרית - 4 שעות
מנחה - 30 דקות

_יום כיפור_
ערבית- שעתיים
שחרית - 4 שעות
מנחה ונעילה- שעתיים

_חנוכה_
ערבית - 15 דקות
שחרית - שעה
מנחה - 15 דקות

_פורים_
ערבית - שעה
שחרית -שעה וחצי
מנחה - 15 דקות

_שלושה רגלים_
ערבית (כולל חול המועד) - 30 דקות
שחרית (כולל חול המועד) - שעתיים
מנחה (לבד מחול המועד) - 30 דקות

_יום העצמאות ויום ירושלים_
ערבית - 30 דקות
שחרית - שעה וחצי
מנחה - 15 דקות

"
נהלי תפילות,"א. זמני התפילות הם ברוטו ואינם כוללים זמני הגעה לבית הכנסת.
ב. בבסיסים בהם מתקיים מנין קבוע יש לאפשר לחיילים להתפלל במניין - בהינתן מניין, תפילה שלא בזמן המניין יאושר על ידי הרב
ג. תפילת שחרית תתקים מהזריחה ועד השעה 9:00, לפני פעילות שאינה מבצעית.
ד. תפילת מנחה תתקיים מהשעה 12:30 בשעון חורף/13:30 בשעון קיץ ועד לשעת השקיעה
ה. תפילת ערבית תתקיים מחצי שעה לאחר השקיעה ועד לשעה 23:30
ו. זמן ברכת המזון - 5 דקות
ז. תפילות לא יבואו על חשבון שינה, אוכל או הפסקה
"
"זמני תפילה בבסיס, מניינים",
אבלות,"בשנת אבל ובימי זיכרון ינתן לחייל/ת במניין ולומר קדיש, אף אם הדבר מחייב תפלה במנין אזרחי
חייל הנמצא *באבלות* לא יחוייב בגילוח במהלך שלושים ימי האבלות לאחר הקבורה. במקרה של פטירת אחד ההורים תקנה זו תוארך לתשעים ימים."
כשרות,"מערך הכשרות בצה""ל אחראי על כשרות המזון בחדרי האוכל, בחלביות ובמטבחונים.
לקבלת עדכוני כשרות בבסיס-

*שימו לב - ניתן לבקשה מנה בכשרות מהודרת מראש דרך נציגי הרבנות ביחידה*

כל המוצרים המונפקים על ידי צה""ל הינם כשרים בהכשרים המאושרים על ידי הרבנות הראשית לישראל.
ירקות עלים הינם מגידול ללא חרקים
פירות וירקות מאזור המרכז והדרום – רבנות קרית מלאכי והרב אפרתי
פירות וירקות מאזור הצפון- רבנות מזכרת בתיה והרב רובין
מוצרי חלק הינם כשרות מהדרין.
כשרות מוצרי בשר בקר ועוף הוא כדלהלן:
בשר מעובד (המבורגר, נקניקיות, קבב וכד') הינו כשר אך לא 'חלק'. 
ככלל, בשר שאינו מעובד, ובתוך כך בשר גולאש, הינו 'חלק'.
לעיתים, אף הבשר המעובד הוא 'חלק'.
עוף – כשרות מהדרין

"
