קלט,פלט
פקודת הכשרות,"האחראי על הכשרות ביחידות הם רבני היחידות.
תחת הרב או תחת נגד הכשרות פועלים משגיחי הכשרות, הצבאיים ו/או האזרחיים."
מטבחון,"ככלל, מטבחוני צה""ל הינם חלביים בלבד!
אין להשתמש בכלים שאינם מאופיינים ומסומנים.
אין בישולי חלב, לבד מחריגות המאושרות על ידי רע""ן כשרות
"
מטבחונים,"ככלל, מטבחוני צה""ל הינם חלביים בלבד!
אין להשתמש בכלים שאינם מאופיינים ומסומנים.
אין בישולי חלב, לבד מחריגות המאושרות על ידי רע""ן כשרות"
חלביה,"אוכל הנמכר בחלביות, בשריות ובחנויות הכוורת עונים על הנחיות הכשרות של הרבנות הצבאית.
יחד עם זאת, יש לוודא כי קיימת תעודת כשרות בתוקף."
כוורת,"אוכל הנמכר בחלביות, בשריות ובחנויות הכוורת עונים על הנחיות הכשרות של הרבנות הצבאית.
יחד עם זאת, יש לוודא כי קיימת תעודת כשרות בתוקף.
"
אוכל ביתי,"אין להכניס אוכל ביתי לתוך המטבחים, חדרי האוכל ובמטבחונים אין להשתמש בכלים הצבאיים לאוכל ביתי"
סימון כלים,"חלבי - מסומן בחור בסכו""ם ו/או כיתוב כחול 'חלבי'
בשרי - מסומן בכיתוב אדום 'בשרי'
כלים פרווה - מסומנים בכיתוב צהוב 'פרווה'
אם הכלי לא מסומן אין להשתמש - יש להעביר את הכלי לנציג הרבנות.
"
חלבי,"חלבי - מסומן בחור בסכו""ם ו/או כיתוב כחול 'חלבי'
ככלל, מטבחוני צה""""ל הינם חלביים בלבד!
אין בישולי חלב, לבד מחריגות המאושרות על ידי רע""""ן כשרות"
בשרי,"בשרי - מסומן בכיתוב אדום 'בשרי'

מוצרי חלק הינם כשרות מהדרין.
כשרות מוצרי בשר בקר ועוף הוא כדלהלן:
בשר מעובד (המבורגר, נקניקיות, קבב וכד') הינו כשר אך לא 'חלק'. 
ככלל, בשר שאינו מעובד, ובתוך כך בשר גולאש, הינו 'חלק'.
לעיתים, אף הבשר המעובד הוא 'חלק'.
עוף – כשרות מהדרין

"
פרווה,כלים פרווה - מסומנים בכיתוב צהוב 'פרווה'
מיקרוגל,"מקירוגלים – יש להשתמש רק עם כלים ואין להניח את האוכל ישירות על צלחת המקירוגל. כמו כן, יש לכסות הרמטית את האוכל ואת הכלים לפני החימום"
ירק,"כל המוצרים המונפקים על ידי צה""ל הינם כשרים בהכשרים המאושרים על ידי הרבנות הראשית לישראל.
ירקות עלים הינם מגידול ללא חרקים
פירות וירקות מאזור המרכז והדרום – רבנות קרית מלאכי והרב אפרתי
פירות וירקות מאזור הצפון- רבנות מזכרת בתיה והרב רובין
"
פירות,"פירות וירקות מאזור המרכז והדרום – רבנות קרית מלאכי והרב אפרתי
פירות וירקות מאזור הצפון- רבנות מזכרת בתיה והרב רובין"
בשר,"בשר מעובד (המבורגר, נקניקיות, קבב וכד') הינו כשר אך לא 'חלק'. 
ככלל, בשר שאינו מעובד, ובתוך כך בשר גולאש, הינו 'חלק'.
לעיתים, אף הבשר המעובד הוא 'חלק'."
עוף,עוף – כשרות מהדרין
מהדרין,"מוצרי חלק הינם כשרות מהדרין.
כשרות מוצרי בשר בקר ועוף הוא כדלהלן:
בשר מעובד (המבורגר, נקניקיות, קבב וכד') הינו כשר אך לא 'חלק'. 
ככלל, בשר שאינו מעובד, ובתוך כך בשר גולאש, הינו 'חלק'.
לעיתים, אף הבשר המעובד הוא 'חלק'.
עוף – כשרות מהדרין

*שימו לב - ניתן לבקשה מנה בכשרות מהודרת מראש דרך נציגי הרבנות ביחידה*


"
רכש חוץ,לבירור אילו מוצרים ניתנים לרכישה במסגרת 'רכש חוץ' יש ללחוץ על הלינק ולהקליד את המוצר הרצוי לשם קבלת הנחיות
"שמיטה, קדושת, שביעית,","**שמיטה**
ענייני השמיטה מתחלקים לשלושה נושאים:
עבודות הקרקע, המטבח וכן שמיטת כספים.
על שטר הפרוזבול המאפשר גביית חוב כלפיכם כנציגי בית דין לאחר סוף שנת השמיטה יש לחתם לפני סוף שנת השמיטה.
ניתן להשיג עותק של שטר זה דרך הרבנות הצבאית.

• **עבודות קרקע**
יש לסייד גזעים ולהלבינם לפי הצורך עד לראש השנה של שנת שמיטה
אין לעדור בגינות במהלך שנת השמיטה
ניתן לנכש עשבייה רק לצורך בטיחותי, ובלבד שאין דרך אחרת לטפל בעשבייה
השקייה תותר על פי צורך בלבד
קיצוץ ענפים לשם סכך או מאחר והם מפריעים מותר, ובלבד שאין עלים פירות בתחילת גידולם (חנטים)

**המטבח בשנת השמיטה**
כלל, הפירות והירקות במטבחי צה""ל בשמיטה ה'תשפ""ב הינם קדושים בקדושת שביעית, ""אוצר בית דין"".
בהיעדר פירות וירקות הקדושים בקדושת שביעית__

"
"שיעורים, שיעורים קבועים בבסיס, תורה",ביחידה מתקיימים שיעורים קבועים בזמנים הבאים:
ימי ישיבה,"יום הישיבה הקרוב בבסיס יתקיים ב-
ככלל, חיילים וחיילות דתיים זכאים ליום ישיבה פעם בחודש, או שלושה בשלושה חודשים.
ימי ישיבה אינם מחייבים שחרור לישיבה, מכינה או למדרשה.
ההשתתפות בימים אלו הינם על מדים מלאים, גם כאשר מתקיימים מחוץ ליחידה.
"
שבת מדרשה,"חיילת בת מדרשה תשוחרר לשבת מדרשה בחודש אלול, תשרי ושבת 'זכור'"
גיור,"הגיור בצה""""ל נעשה בהתאם לכללי הרבנות הראשית לישראל.
חיילים סדירים המעוניינים להתגייר רשאים לעשות זאת ועל מפקדיהם לאפשר זאת., כולל כל שלבי הגיור
ניתן להתגייר במסגרות הבאות:
א. לימוד של החייל עם רב היחידה או מורה אזרחית לחיילת
ב. מכון ללימודי יהדות
חיילים שאינם במסלול 'נתיב' יקבלו מרב היחידה סידור ותפילין.
לאחר הגיור, ניתן לבקש מנציגי הרבנות ביחידה להכשיר את המטבח הביתי
"
טלית ותפילין,"בבית הכנסת ניתן למצוא סטים שלימוש בתוך בית הכנסת של טלית ותפילין במקום הייעודי
חיילים שאינם במסלול 'נתיב' יקבלו מרב היחידה סידור ותפילין."
"מזוזות, מזוזה",יש לפנות לנציגי הרבנות ביחידה באם חסרים מזוזות בפתחי המגורים או המשרדים
"נטילת ידיים, נטילה",באם אין נטלה לנטילת ידיים בעמדות ליד חדר האוכל או שחסררה נטלה בשירותי המגורים יש לפנות לנציגי הרבנות ביחידה
חצאית,"כל חיילת דתיה זכאית לשלוש זוגות מדי א' לבחירתה (מכנס ו/או חצאית)
על החצאית להיות 3 ס""""מ מתחת לברך
ניתן להגיש בקשה דרך רב היחידה לחצאית נוספת
חצאית ב' תונפק בבסיס ההכשרה ותלווה אותך לאורך השירות
באם אינך מופיע כחיילת דתיה במערכת הצה""""לית יש לפנות לרב היחידה
"
פטור זקן,"בקשה לפטור זקן קבוע *מטעמי דת* תועבר דרך נגד המשמעת של היחידה ותועבר גם לרב היחידה. עד אז, בהיעדר אישור זמני, על החייל להמשיך להתגלח.
חייל הנמצא *באבלות* לא יחוייב בגילוח במהלך שלושים ימי האבלות לאחר הקבורה. במקרה של פטירת אחד ההורים תקנה זו תוארך לתשעים ימים.
במהלך שלושת השבועות (י""""ז בתמוז- ט' באב) וכן במהלך כל ימי ספירת העומר (תחילת פסח עד גמר חג השבועות) חייל המקיים אורח חיים דתי יוכל לבקש פטור מרב היחידה ולהסתפר ולהתגלח כמנהג אבותיו.
דברים אלו נכונים גם לגבי חול המועד סוכות וחול המועד פסח.
"
ראש השנה,"מטבחי צה""ל יספקו ערכות לעריכת סדר סימנים במהלך שני הערבים, כאשר בערב השני יסופק פרי חדש לברכת 'שהחיינו'.
כמו כן, הרבנות תספק שופרות לבתי הכנסת לשם תקיעות השופר.
המפקדים יאפשרו לחיילים המעוניינים לשמוע תקיעת שופר לעשות זאת.
הנחיות לתקיעת שופר ניתן למצוא בבית הכנסת על יד מקומו של השופר

זמני תפילות ראש השנה:
ערבית - שעה ו15 דקות
שחרית - 4 שעות
מנחה - 30 דקות
"
"יום כיפור, יום הכיפורים, יו""כ, יוה""כ","חיילים צמים ישוחררו מפעילות לאורך החג.
סעודה מפסקת בשרית וחמה תסופק לחיילים שעה לפני כניסת החג.
חיילים יורשו לנעול נעליים שאינם מעור, פרט למי שנמצא בפעילות מבצעית.
כלל חדרי האוכל יישארו סגורים ביום זה – אך תוסדר פינת פריסה
בחדר האוכל יוצב נר נשמה אותו יש להדליק לפני כניסת החג ואשר ישמש להבדלה במוצאי החג

זמני תפילות הן כדלהלן:
ערבית - שעה ו15 דקות
שחרית - 4 שעות
מנחה - 30 דקות
"
"סוכות, שמחת תורה, סוכות א', סוכות ב'","הצבא יספק ארבעת המינים ליחידות השונות, כמו גם ערכות 'השענות' להושענא רבה.
כמו כן, תועמד סוכה לשם אכילה כמו גם סוכה לשינה בהתאם לפקודת השירות המשותף
חייל המקיים אורח חיים דתי יוכל לבקש פטור זקן מרב היחידה ולהסתפר ולהתגלח כמנהג אבותיו.
זמני התפילות הן כדלהלן:
ערבית (כולל חול המועד) - 30 דקות
שחרית (כולל חול המועד) - שעתיים
מנחה (לבד מחול המועד) - 30 דקות
"
הקפות שניות,"ככלל, איןפקודה הנוגעת לפעילות של הקפות שניות בבסיסי צה""ל
עם זאת, ניתן לפנות לרב ולמפקדים מראש בבקשה לאפשר זאת"
סליחות,"הזמן הניתן לאמירת סליחות- 30 דקות
זמני תפילת סליחות בבה""ד הן:
"
צום גדליה,"חיילים ישוחררו מפעילות לאורך הצום.
לחיילים הצמים תוגש ארוחה חמה לפני תחילת הצום ולאחר הצום.
יש להתעדכן בזמני ימי הישיבה ביום זה

זמני תפילות:
ערבית - 15 דקות
שחרית - 50 דקות
מנחה - 30 דקות
"
חנוכה,"חיילים המעוניינים בערכת נרות חנוכה יפנו לרב
ככלל, נרות חנוכה יולדקו במקומות הייעודיים.
ההדלקה תעשה משעת שקיעת החמה ואילך, ובלבד שידלוק חצי שעה לאחר צאת הכוכבים.
רצוי להזמין כמה שיותר חיילים להשתתף.

זמני תפילות בחנוכה הן כדלהלן:
ערבית - 15 דקות
שחרית - שעה
מנחה - 15 דקות
"
"י' בטבת, עשרה בטבת, 10 בטבת","חיילים ישוחררו מפעילות לאורך הצום.
לחיילים הצמים תוגש ארוחה חמה לפני תחילת הצום ולאחר הצום.
יש להתעדכן בזמני ימי הישיבה ביום זה

זמני תפילות:
ערבית - 15 דקות
שחרית - 50 דקות
מנחה - 30 דקות
"
פורים,"מלבד קריאת המגילה בערב, במהלך היום יש לשמוע קריאת מגילה בשנית (זמני התפילות מופיעים בהמשך).
כמו כן, במהלך היום לשלוח מנות איש לרעהו – ניתן לתת לאחד מחבריכם לקורס שני מאכלים שונים (שתי ברכות שונות).
בנוגע למתנות לאביונים – ניתן למנות מראש שליח/ה לדבר המצווה שיתנו את המתנות לשני אביונים במהלך הפורים. כמו כן, ניתן להתעדכן אצל נציגי הרבנות ביחידה באשר להתארגנות קבוצתית.
כמו כן, יש לערוך 'משתה' ביום זה, קרי סעודה חגיגית (ללא אלכוהול).

זמני תפילה בפורים הן כדלהלן:
ערבית - שעה
שחרית -שעה וחצי
מנחה - 15 דקות"
קריאת מגילה,"קריאת מגילה תעשה בבית הכנסת בשעות המוגדרות
ניתן להשיג מהרב מגילת קלף לשם קריאה נוספת"
"סימנים, חרוסת, מרור, כרפס","מטבחי צה""ל יספקו ערכות לעריכת סדר סימנים במהלך שני הערבים, כאשר בערב השני יסופק פרי חדש לברכת 'שהחיינו'."
"שופר, תקיעת שופר","כמו כן, הרבנות תספק שופרות לבתי הכנסת לשם תקיעות השופר.
המפקדים יאפשרו לחיילים המעוניינים לשמוע תקיעת שופר לעשות זאת.
הנחיות לתקיעת שופר ניתן למצוא בבית הכנסת על יד מקומו של השופר
"
משלוח מנות,במהלך היום יש לשלוח מנות איש לרעהו – ניתן לתת לאחד מחבריכם לקורס שני מאכלים שונים (שתי ברכות שונות).
מתנות לאביונים,"ניתן למנות מראש שליח/ה לדבר המצווה שיתנו את המתנות לשני אביונים במהלך הפורים. כמו כן, ניתן להתעדכן אצל נציגי הרבנות ביחידה באשר להתארגנות קבוצתית."
"ד' מינים, ארבעה מינים, לולב","הצבא יספק ארבעת המינים ליחידות השונות, כמו גם ערכות 'השענות' להושענא רבה."
ערבות,"הצבא יספק ארבעת המינים ליחידות השונות, כמו גם ערכות 'השענות' להושענא רבה."
ליל הסדר,"סדר פסח ייערך בחדר אוכל בנוסח אחיד.
באם הינך נמצא בפעילות ניתן לבקש מנציגי הרבנות ביחידה ערכת 'ליל הסדר' אישי."
"מצות, מצה","בליל הסדר יחולקו מצות שמורות עבודת יד ומכונה.
בשאר הימים ניתן להשיג מצות עבודת שמורות מכונה.
כל זאת, בנוסף למצות רגילות.

באם יש ביקוש למצות שמורות עבודת יד - יש לפנות לרבנות היחידה"
פסח,"חל איסור להכניס חמץ לבסיס מיום הכשרת הבסיס ועד לאחר גמר החג.
ניתן למכור חמץ דרך רב היחידה
כלל חדרי האוכל, המטבחונים, מכונות וחנויות לממכר מזון בצה""ל יוכשרו במהלך ימי ההכשרה לפסח על ידי סגל הרבנות של היחידה.
סדר פסח ייערך בחדר אוכל בנוסח אחיד.
באם הינך נמצא בפעילות ניתן לבקש מנציגי הרבנות ביחידה ערכת 'ליל הסדר' אישי.
כמו כן, בליל הסדר יחולקו מצות שמורות עבודת יד

שימו לב!
מרבית האוכל בצה""ל הינו ללא קטניות, אם כי לא כולו.
כמו כן, כאשר יוצע לחיילים אוכל עם מצה שרויה, תוצע גם חלופה לחיילים שאינם אוכלים מצה שרויה.

במהלך כל ימי ספירת העומר (תחילת פסח עד גמר חג השבועות) חייל המקיים אורח חיים דתי יוכל לבקש פטור מרב היחידה ולהסתפר ולהתגלח כמנהג אבותיו.

זמני התפילות הן כדלהלן:
ערבית (כולל חול המועד) - 30 דקות
שחרית (כולל חול המועד) - שעתיים
מנחה (לבד מחול המועד) - 30 דקות
"
הכשרה לפסח,"חל איסור להכניס חמץ לבסיס מיום הכשרת הבסיס ועד לאחר גמר החג.
ניתן למכור חמץ דרך רב היחידה
כלל חדרי האוכל, המטבחונים, מכונות וחנויות לממכר מזון בצה""ל יוכשרו במהלך ימי ההכשרה לפסח על ידי סגל הרבנות של היחידה.
"
"כשר לפסח, שרויה, קטניות","חל איסור להכניס חמץ לבסיס מיום הכשרת הבסיס ועד לאחר גמר החג.
ניתן למכור חמץ דרך רב היחידה
כלל חדרי האוכל, המטבחונים, מכונות וחנויות לממכר מזון בצה""ל יוכשרו במהלך ימי ההכשרה לפסח על ידי סגל הרבנות של היחידה.
סדר פסח ייערך בחדר אוכל בנוסח אחיד.
באם הינך נמצא בפעילות ניתן לבקש מנציגי הרבנות ביחידה ערכת 'ליל הסדר' אישי.
כמו כן, בליל הסדר יחולקו מצות שמורות עבודת יד

שימו לב!
מרבית האוכל בצה""ל הינו ללא קטניות, אם כי לא כולו.
כמו כן, כאשר יוצע לחיילים אוכל עם מצה שרויה, תוצע גם חלופה לחיילים שאינם אוכלים מצה שרויה.
"
שבועות,"זמני התפילות הן כדלהלן:
ערבית (כולל חול המועד) - 30 דקות
שחרית (כולל חול המועד) - שעתיים
מנחה (לבד מחול המועד) - 30 דקות
"
"יום העצמאות, יום ירושלים","זמני התפילות הן כדלהלן:
ערבית - 30 דקות
שחרית - שעה וחצי
מנחה - 15 דקות"
יום הזיכרון,
"י""ז בתמוז, שעבה עשרה בתמוז, 17 בתמוז, יז בתמוז","חיילים ישוחררו מפעילות לאורך הצום.
לחיילים הצמים תוגש ארוחה חמה לפני תחילת הצום ולאחר הצום.
יש להתעדכן בזמני ימי הישיבה ביום זה
במהלך שלושת השבועות (י""""ז בתמוז- ט' באב) חייל המקיים אורח חיים דתי יוכל לבקש פטור מרב היחידה ולהסתפר ולהתגלח כמנהג אבותיו.
זמני תפילות:
ערבית - 15 דקות
שחרית - 50 דקות
מנחה - 30 דקות
"
"ט' באב, תשעה באב, 9 באב, ט באב","""חיילים ישוחררו מפעילות לאורך הצום.
לחיילים הצמים תוגש ארוחה חמה לפני תחילת הצום ולאחר הצום.

במהלך צום ט' באב חיילים יורשו לנעול נעליים שאינם מעור, פרט למי שנמצא בפעילות מבצעית

במהלך שלושת השבועות (י""""ז בתמוז- ט' באב) חייל המקיים אורח חיים דתי יוכל לבקש פטור מרב היחידה ולהסתפר ולהתגלח כמנהג אבותיו.

זמני תפילות:
ערבית - 45 דקות
שחרית - שעתיים
מנחה - 30 דקות

"
חול המועד,חייל המקיים אורח חיים דתי יוכל לבקש פטור מרב היחידה ולהסתפר ולהתגלח כמנהג אבותיו בימי חול המועד סוכות וחול המועד פסח.
שלושת השבועות,"במהלך שלושת השבועות (י""""ז בתמוז- ט' באב) חייל המקיים אורח חיים דתי יוכל לבקש פטור מרב היחידה ולהסתפר ולהתגלח כמנהג אבותיו."
ספירת העומר,במהלך כל ימי ספירת העומר (תחילת פסח עד גמר חג השבועות) חייל המקיים אורח חיים דתי יוכל לבקש פטור מרב היחידה ולהסתפר ולהתגלח כמנהג אבותיו.
"שבת, חג, יום טוב","שבתות, חגים ומועדים רשמיים של המדינה הינם ימי מנוחה בצה""ל ואין לקיים בהם פעילות כי אם זו החיונית מבחינה ביטחונית.
ימים אלו יחולו משקיעת החמה ביום לפני ועד צאת הכוכבים בתאריך החג.

על המפקדים לשחרר את החיילים לפני שבת, חג ומועדי ישראל כך שיגיעו לביתם עד שעתיים לפני השקיעה.
החזרה תהיה באופן שמאפשר שעת התארגנות לאחר צאת השבת/חג/מועדי ישראל
חיילים שסוגרים בבסיס ישוחררו מפעילות שאינה חיונית שעה לפני שבת או חג

ארוחת הערב בערב שבת/חג/מועדי ישראל תהיה חגיגית ובימים בהם נעשה קידוש יסופקו לחיילים מיץ ענבים לשם הקידוש כמו גם הבדלה עם צאת היום.
כמו כן, יסופק 'לחם משנה' בשבתות וחגים.
בבתי הכנסת ניתן למצוא את ערכות ההבדלה.

במהלך השבת, יש לשמור על אווירת השבת במרחב הציבורי, בתוך כך גם בחדר האוכל.
יש להתחשב, ואף לדרוש שיתחשבו בחיילים הדתיים. בתוך כך:"
עירוב,"הבסיס מוקף בעירוב בצורת גדר.
מחוץ לש.ג. של האגד יש עירוב באופן של 'צורת הפתח' (עמודים עם חוט מתוח) המחברים את פו""מ, אגד גלילות והמפקדה של 8200)
שימו לב, העירוב לא מחבר את הנ""ל לרמת השרון."
"הדלקת נרות, נרות חג, נרות שבת, נר זיכרון, נר נשמה","באחריות קצין הלוגיסטיקה של היחידה להנפיק נרות שבת ולייחד לשם כך מקום (על פי רוב בחדר האוכל).
כל חייל/ת המעוניינים בהדלקת נרות יוכלו לעשות זאת.
כאשר הפקודות לא מאפשרות הדלקת נרות באש ממשית – יש לבקש מנציגי הרבנות ביחידה נרות ייעודיים להדלקת נרות כהלכה שאינם מאש.

בערב יום כיפור יודלק נר נשמה אשר על ידו תעשת ברכת האש במוצאי יום כיפור.
כאשר שבת וחג צמודים יודלק בערבו של היום הראשון נר נשמה ממנו יודלקו הנרות של היום השני.
ניתן לבקש נרות זיכרון מהרב באם יש צורך נוסף
"
"מקלדת שבת, עט שבת, עכבר שבת, לחץ שבת, קודן שבת, מפסק שבת","ניתן להשיג מנציגי הרבנות ביחידה טלפון שבת, מקלדת שבת, עכבר שבת וכן עט שבת לפי צרכי המשימה השונים.
יש לשים לב כי הרבנות הצבאית הנפיקה פתרונות קבועים לחייל הדתי בשבת וחג כגון קודן, לחצן, מפסק שער ועוד.
טרם יום חמישי יש להסתכל במרחב לבדוק אלו מנגנונים קיימים אשר דורשים התאמה להלכות שבת וחג ובאם יש פער יש לפנות לנציגי הרבנות ביחידה בהקדם לשם השלמת הפער

"
שבת,נושא זה הוא נושא רחב. יש להקליד באופן יותר מפורט למה הכוונה
יום טוב שני של גלויות,"חיילים הרשומים כבני חו""ל יוכלו לחגוג את ''יום טוב שני גלויות' וישוחררו מכל פעילות עד למוצאי החג"
"מד""ס","לבוש אזרחי - חולצה בעלת שרוול ארוך או קצר, מכנס מתחת לברך וכמו כן הלבוש לא יהיה חושפני או צמוד
באפשרותך לבקש הדרכה מצוות הדרכה מאותו מגדר כמוך אם יש חשש למגע פיזי, ייחוד או פעילות בלבוש חושפני
חדרי כושר ובריכה – בבסיסים פתוחים ייחדו לפחות שעתיים שבועיות לכל מגדר ובבסיסים סגורים ייחדו לפחות ארבע שעות שבועיות לכל מגדר"
שירות משותף,"א. יש לך את הזכות לבקש שלא לבצע פעילות משותפת עם בני המין השני המביאים למצב של 'ייחוד', בתוך כך, תורנויות, שמירה, ניווט ונסיעה ברכב.
ב. כמו כן, באפשרותך לבקש הדרכה מצוות הדרכה מאותו מגדר כמוך אם יש חשש למגע פיזי, ייחוד או פעילות בלבוש חושפני
ג. באם מתקיימת פעילות נופש או תרבות שבעינייך יפגעו באמונתך, ערכיך או אורח חייך – תוצע פעילות חלופית (למעט שמירה או תורנות אחרת)
ד. חדרי כושר ובריכה – בבסיסים פתוחים ייחדו לפחות שעתיים שבועיות לכל מגדר ובבסיסים סגורים ייחדו לפחות ארבע שעות שבועיות לכל מגדר
ה. באירועים הממלכתיים הרשמיים ישתתפו כלל החיילים ובהם:
טקס יום הזיכרון ליצחק רבין ז""ל
טקס יום הזיכרון לשואה ולגבורה 
טקס יום הזיכרון לחללי מערכות ישראל ונפגעי פעולות האיבה
טקסי התייחדות חיילים או חטיבתיים
אירועים במעמד אישיות ממלכתי, לרבות הרמטכ""ל
אירועים אחרים שיקבעו על ידי ראש אכ""א ובאישור הרמטכ""ל
"
נופש,"באם מתקיימת פעילות נופש או תרבות שבעינייך יפגעו באמונתך, ערכיך או אורח חייך – תוצע פעילות חלופית (למעט שמירה או תורנות אחרת)
לבוש אזרחי - חולצה בעלת שרוול ארוך או קצר, מכנס מתחת לברך וכמו כן הלבוש לא יהיה חושפני או צמוד"
ייחוד,"יש לך את הזכות לבקש שלא לבצע פעילות משותפת עם בני המין השני המביאים למצב של 'ייחוד', בתוך כך, תורנויות, שמירה, ניווט ונסיעה ברכב."
החייל הדתי,"הנחיות הנוגעות ללבוש של החייל/ת הדתי/ה והינם המשך לפקודות הלבוש התקני בצה""ל
כיפה - הכיפה יכולה להיות בכל צבא ובכל גודל ובלבד שלא יהיה עליה כיתוב
ציצית - חייל יוכל להוציא את הציציות ולהציגם מעל מדיו, אם אין מניעה מבצעית. ניתן לפנות לרבנות היחידה להנפקת ציצית מוצאמת לחייל הדתי
לבוש אזרחי - חולצה בעלת שרוול ארוך או קצר, מכנס מתחת לברך וכמו כן הלבוש לא יהיה חושפני או צמוד
פטור זקן - בקשה לפטור זקן קבוע *מטעמי דת* תועבר דרך נגד המשמעת של היחידה ותועבר גם לרב היחידה. עד אז, בהיעדר אישור זמני, על החייל להמשיך להתגלח.
חייל הנמצא *באבלות* לא יחוייב בגילוח במהלך שלושים ימי האבלות לאחר הקבורה. במקרה של פטירת אחד ההורים תקנה זו תוארך לתשעים ימים.
במהלך שלושת השבועות (י""ז בתמוז- ט' באב) וכן במהלך כל ימי ספירת העומר (תחילת פסח עד גמר חג השבועות) חייל המקיים אורח חיים דתי יוכל לבקש פטור מרב היחידה ולהסתפר ולהתגלח כמנהג אבותיו.
דברים אלו נכונים גם לגבי חול המועד סוכות וחול המועד פסח."
"החיילת הדתייה, חיילת, בת, בנות","הנחיות הנוגעות ללבוש של החייל/ת הדתי/ה והינם המשך לפקודות הלבוש התקני בצה""ל
גרביונים - מותר לנוע בגרביונים בצבע גוף בלבד. ישנם זמנים בהם מותר יהיה לנוע בגרביוני חורף בצבעים כהים ויש להתעדכן על כך דרך המפקדים
כיסוי ראש - על כיסוי הראש להיות בצבע אחיד בצבעי: ירוק זית, שחור, אפור או כחול כהה
לבוש אזרחי - חולצה בעלת שרוול ארוך או קצר, מכנס מתחת לברך וכמו כן הלבוש לא יהיה חושפני או צמוד
חצאית - כל חיילת דתיה זכאית לשלוש זוגות מדי א' לבחירתה (מכנס ו/או חצאית). על החצאית להיות 3 ס""מ מתחת לברך. ניתן להגיש בקשה דרך רב היחידה לחצאית נוספת.
חצאית ב' תונפק בבסיס ההכשרה ותלווה אותך לאורך השירות.
באם אינך מופיע כחיילת דתיה במערכת הצה""לית יש לפנות לרב היחידה
"
כיפה,כיפה - הכיפה יכולה להיות בכל צבא ובכל גודל ובלבד שלא יהיה עליה כיתוב
ציצית,"ציצית - חייל יוכל להוציא את הציציות ולהציגם מעל מדיו, אם אין מניעה מבצעית.
ניתן לפנות לרבנות היחידה להנפקת ציצית מותאמת לחייל הדתי"
"כיסוי ראש, מטפחת","כיסוי ראש - על כיסוי הראש להיות בצבע אחיד בצבעי: ירוק זית, שחור, אפור או כחול כהה"
"גרביונים, גרביון",גרביונים - מותר לנוע בגרביונים בצבע גוף בלבד. ישנם זמנים בהם מותר יהיה לנוע בגרביוני חורף בצבעים כהים ויש להתעדכן על כך דרך המפקדים
"שאלה, שאלת, שאלות, הלכה, הלכתית, בהלכה",קו פתוח של הרבנות הצבאית לשאלות הלכתיות 24/7 0529414414
ראש חודש,זמני תפילות: ****
